LLT_Code,PT_Code
10001583,10060013
10001584,10001584
10001585,10001584
10001586,10001584
10001587,10001584
10001588,10001584
10001589,10001584
10001590,10001639
10001591,10016845
10001592,10001907
10001593,10047913
10001594,10001639
10001595,10007637
10001596,10001596
10001597,10001597
10001598,10001598
10001599,10001605
10001600,10001605
10001601,10001605
10001602,10061701
10001603,10060013
10001604,10062897
10001605,10001605
10001606,10001606
10001607,10001606
10001609,10001598
10001610,10012225
10001611,10053164
10001612,10001612
10001613,10001907
10001614,10003658
10001615,10001596
10001616,10007637
10001617,10009208
10001618,10009208
10001619,10016262
10001620,10017856
10001621,10017857
10001622,10017856
10001623,10001623
10001624,10019728
10001625,10001632
10001626,10001627
10001627,10001627
10001628,10001627
10001629,10036106
10001630,10001630
10001631,10001632
10001632,10001632
10001633,10001632
10001634,10001632
10001635,10001635
10001636,10001635
10001637,10053164
10001638,10016262
10001639,10001639
10001640,10001639
10001641,10001641
10001642,10001642
10001643,10001643
10001644,10005293
10001645,10005295
10001646,10005296
10001647,10005296
10001648,10005295
10001649,10001649
10001650,10061625
10001651,10001651
10001652,10001653
10001653,10001653
10001654,10001651
10001655,10001655
10001656,10020571
10001657,10020571
10001658,10039808
10001659,10047992
10001660,10001660
10001661,10001660
10001662,10002967
10001663,10001663
10001664,10013932
10001665,10064332
10001666,10001666
10001667,10028520
10001668,10005298
10001669,10059570
10001670,10005298
10001671,10001680
10001672,10008422
10001673,10059570
10001674,10005298
10001675,10059570
10001676,10005310
10001677,10059570
10001678,10059570
10001679,10059570
10001680,10001680
10001681,10027423
10001682,10001682
10001683,10001682
10001684,10001684
10001685,10001684
10001686,10027423
10001687,10001680
10001688,10038664
10001689,10001689
10001690,10000846
10001691,10060888
10001692,10040934
10001693,10020764
10001694,10061430
10001695,10061430
10001696,10061430
10001697,10061430
10001698,10061430
10001699,10061430
10001700,10061430
10001701,10061430
10001702,10061430
10001703,10061430
10001704,10061430
10001705,10003553
10001706,10005149
10001707,10006474
10001709,10010744
10001710,10020764
10001711,10012434
10001712,10012434
10001713,10078117
10001714,10078117
10001715,10081004
10001716,10019617
10001717,10012434
10001718,10020751
10001719,10020751
10001720,10013700
10001721,10058284
10001722,10058284
10001723,10039085
10001724,10039085
10001725,10039085
10001726,10048908
10001727,10039085
10001728,10010744
10001729,10012434
10001730,10001742
10001731,10001742
10001732,10001742
10001733,10001742
10001734,10046735
10001735,10019617
10001736,10020764
10001738,10020751
10001739,10020751
10001740,10028164
10001741,10020751
10001742,10001742
10001743,10001742
10001744,10001742
10001745,10027633
10001746,10001742
10001747,10058284
10001748,10012442
10001749,10001749
10001750,10001749
10001751,10001751
10001752,10020751
10001754,10001754
10001755,10001754
10001756,10001756
10001757,10062247
10001758,10023284
10001759,10021703
10001760,10001760
10001761,10001761
10001762,10073736
10001763,10001760
10001764,10001764
10001765,10001765
10001766,10001766
10001767,10001767
10001768,10001760
10001770,10005298
10001771,10059570
10001772,10001772
10001773,10001773
10001774,10001773
10001775,10001775
10001776,10001776
10001777,10001776
10001778,10001778
10001779,10001779
10001780,10001780
10001781,10001781
10001782,10001782
10001783,10001783
10001784,10001784
10001785,10001785
10001786,10001787
10001787,10001787
10001788,10001785
10001789,10001789
10001790,10035490
10001791,10035491
10001792,10001792
10001793,10001793
10001794,10001794
10001795,10001796
10001796,10001796
10001797,10001794
10001798,10001798
